country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
United States,California,Los Angeles County,5/13/20,-45,-14,-16,-44,-46,20
United States,California,Los Angeles County,5/14/20,-45,-14,-17,-45,-46,21
United States,California,Los Angeles County,5/15/20,-46,-11,-14,-44,-45,21
United States,California,Los Angeles County,5/16/20,-48,-10,-22,-40,-30,14
United States,California,Los Angeles County,5/17/20,-48,-15,-13,-44,-30,12
United States,California,Los Angeles County,5/18/20,-45,-18,-33,-49,-44,19
United States,California,Los Angeles County,5/19/20,-42,-13,-13,-44,-44,19
United States,California,Los Angeles County,5/20/20,-42,-11,-10,-43,-44,19
United States,California,Los Angeles County,5/21/20,-42,-10,-10,-43,-44,19
United States,California,Los Angeles County,5/22/20,-43,-8,-10,-43,-42,19
United States,California,Los Angeles County,5/23/20,-46,-7,-18,-39,-28,12
United States,California,Los Angeles County,5/24/20,-47,-11,-2,-43,-29,10
United States,California,Los Angeles County,5/25/20,-46,-13,16,-52,-72,24
,,,5/26/20,-43,-13,-12,-43,-42,18
,,,5/27/20,-42,-13,-8,-42,-42,18
,,,5/28/20,-41,-12,-10,-43,-43,19
,,,5/29/20,-43,-12,-13,-42,-42,19
