"","Neighborhood","FIPS","Adjusted.case_rate","Adjusted.death_rate","Adjusted.testing_rate","mean.Socioeconomic","mean.HouseholdComposition.and.Disability","mean.Minority.Status.and.Language","mean.Housing.Type.and.Transportation","Diabetes_Percent","Population","Latin","White","Black","Native.American","Asian","Other.population","Longitude","Latitude","Area","Risk"
"60","Panorama City",6037119310,1187,75,7403,0.839,0.705,0.887,0.672,9.6,71194,0.72,0.097,0.027,0,0.145,0,-118.450697,34.246626,3.892972643214,3
"61","Pico-Union",6037209520,1602,170,6094,0.898,0.578,0.979,0.887,8.933,43127,0.829,0.026,0.028,0,0.109,0,-118.2769545,34.050539,1.759907356382,3
"62","Playa Vista",6037275602,282,0,7988,0.168,0.104,0.291,0.192,7.129,8926,0.181,0.456,0.099,0.002,0.24,0.015,-118.414947,33.9755865,1.357721505368,1
"63","Porter Ranch",6037108101,282,10,6201,0.18,0.334,0.399,0.073,7.3,26514,0.121,0.545,0.029,0,0.293,0,-118.5413715,34.280038,5.951524105066,2
"64","Rancho Park",6037271100,313,0,9460,0.266,0.215,0.268,0.426,6.4,2449,0.191,0.537,0.028,0.001,0.225,0.017,-118.427171,34.034177,0.310569637944,1
"65","Reseda",6037131010,850,36,8651,0.657,0.533,0.706,0.659,9.6,65323,0.536,0.273,0.039,0,0.139,0.001,-118.541108,34.214552,5.59402531343,3
"66","San Fernando",6037109500,867,39,7331,0.886,0.908,0.948,0.647,12.7,4303,0.926,0.031,0.009,0.002,0.026,0.006,-118.4444575,34.274036,0.461230499364,3
"67","San Pedro",6037295103,1191,17,5086,0.545,0.531,0.497,0.488,11.6,78544,0.461,0.392,0.065,0,0.061,0,-118.2968435,33.760268,12.26075202193,3
"68","Santa Monica",6037702300,266,15,7628,0.188,0.319,0.211,0.496,5.3,31504,0.486,0.286,0.095,0,0.119,0.001,-118.4559935,34.0182585,1.003755933134,2
"69","Shadow Hills",6037102103,281,0,5794,0.372,0.286,0.295,0.335,8.939,13058,0.206,0.656,0.021,0.001,0.101,0.001,-118.354339,34.224155,8.453912171182,1
"70","Sherman Oaks",6037124600,289,8,7986,0.243,0.156,0.199,0.337,6.22,67370,0.126,0.714,0.058,0,0.086,0.001,-118.4268715,34.161935,9.166695845586,1
