"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"175","Los Angeles - Reseda Ranch",30,647,576,0,0,0,357,7701,7376,4636
"176","Los Angeles - Reynier Village",12,284,292,0,0,0,276,6528,6534,4228
"177","Los Angeles - San Pedro",937,1201,1191,15,19,17,4106,5262,5086,78038
"178","Los Angeles - Shadow Hills",11,248,281,0,0,0,285,6416,5794,4442
"179","Los Angeles - Sherman Oaks",251,288,289,9,10,8,7148,8192,7986,87254
"180","Los Angeles - Silverlake",204,463,436,12,27,24,3990,9051,8665,44083
"181","Los Angeles - South Carthay",37,349,402,1,9,6,831,7843,8195,10595
"182","Los Angeles - South Park",459,1209,1249,9,24,32,2168,5711,6001,37961
"183","Los Angeles - St Elmo Village",48,1047,1235,6,131,204,512,11169,11939,4584
"184","Los Angeles - Studio City",86,383,374,7,31,28,1999,8908,8531,22440
"185","Los Angeles - Sun Valley",341,650,619,7,13,14,3076,5861,5679,52483
"186","Los Angeles - Sunland",163,799,670,17,83,56,1532,7507,6877,20408
"187","Los Angeles - Sycamore Square",1,155,79,0,0,0,75,11592,10325,647
"188","Los Angeles - Sylmar",883,1072,1087,46,56,71,6564,7966,7899,82398
"189","Los Angeles - Tarzana",235,761,654,10,32,22,2820,9133,8379,30876
"190","Los Angeles - Temple-Beaudry",355,899,863,13,33,38,2550,6459,5999,39482
"191","Los Angeles - Thai Town",33,336,265,0,0,0,610,6219,5690,9809
"192","Los Angeles - Toluca Lake",20,230,220,0,0,0,690,7927,8095,8704
"193","Los Angeles - Toluca Terrace",6,459,562,0,0,0,78,5972,5562,1306
"194","Los Angeles - Toluca Woods",3,161,108,0,0,0,148,7966,8174,1858
"195","Los Angeles - Tujunga",131,471,428,11,40,33,1736,6242,5718,27810
"196","Los Angeles - University Hills",14,408,401,1,29,19,191,5570,5733,3429
"197","Los Angeles - University Park",230,838,1216,1,4,3,1178,4290,5041,27456
"198","Los Angeles - Valley Glen",148,493,469,6,20,20,1813,6040,5749,30016
"199","Los Angeles - Valley Village",222,898,813,13,53,43,2148,8689,8198,24720
"200","Los Angeles - Van Nuys",821,881,891,31,33,45,6150,6599,6548,93194
"201","Los Angeles - Venice",68,201,206,2,6,6,2552,7531,7689,33885
"202","Los Angeles - Vermont Knolls",186,1081,1073,3,17,21,1176,6837,6893,17200
"203","Los Angeles - Vermont Square",90,1175,1143,2,26,24,529,6909,6839,7657
"204","Los Angeles - Vermont Vista",401,974,1024,6,15,22,2421,5878,6179,41186
"205","Los Angeles - Vernon Central",718,1381,1427,13,25,35,3087,5937,6121,51998
"206","Los Angeles - Victoria Park",64,762,724,2,24,20,511,6084,5916,8399
"207","Los Angeles - View Heights",10,271,251,2,54,42,313,8473,7907,3694
"208","Los Angeles - Watts",360,844,933,9,21,38,2346,5497,5949,42674
"209","Los Angeles - Wellington Square",26,529,499,0,0,0,344,6999,6827,4915
"210","Los Angeles - West Adams",252,912,893,18,65,71,2522,9128,8826,27630
"211","Los Angeles - West Hills",150,370,329,15,37,23,2838,7000,6682,40545
"212","Los Angeles - West Los Angeles",90,239,223,4,11,11,3315,8808,8179,37636
"213","Los Angeles - West Vernon",549,1023,1026,17,32,37,3825,7130,7166,53644
"214","Los Angeles - Westchester",105,203,192,10,19,16,3490,6763,6362,51603
"215","Los Angeles - Westlake",842,1419,1491,80,135,154,3780,6368,6493,59355
"216","Los Angeles - Westwood",77,142,157,5,9,9,3172,5862,6325,54109
"217","Los Angeles - Wholesale District",938,2596,2176,8,22,29,3849,10653,9501,36129
"218","Los Angeles - Wilmington",313,554,564,4,7,8,2343,4148,4257,56487
"219","Los Angeles - Wilshire Center",274,546,517,18,36,36,2617,5216,4903,50170
"220","Los Angeles - Winnetka",328,633,594,4,8,9,4135,7985,7649,51786
"221","Los Angeles - Woodland Hills",178,262,238,12,18,12,5449,8007,7382,68055
"222","Unincorporated - Acton",11,138,158,1,13,6,316,3964,3744,7971
"223","Unincorporated - Agua Dulce",10,240,343,0,0,0,176,4233,4684,4158
"224","Unincorporated - Altadena",165,378,378,5,11,10,2183,5005,4822,43620
"225","Unincorporated - Anaverde",2,133,201,0,0,0,56,3714,4273,1508
"226","Unincorporated - Angeles National Forest",2,161,152,0,0,0,29,2329,2138,1245
"227","Unincorporated - Arcadia",10,125,101,1,13,8,427,5350,5096,7981
